Province/State,Country/Region,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20
Ciudad de Buenos Aires,Argentina,1,0,1,4,1,3,0,1,2,2,2,6,6,5,4,10
Provincia de Buenos Aires,Argentina,0,0,0,1,0,0,1,1,0,5,1,2,1,1,1,6
Provincia de Chaco,Argentina,0,0,0,0,0,0,2,0,0,1,0,2,2,3,1,1
Provincia de Cordoba,Argentina,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,1
Provincia de Tierra del Fuego,Argentina,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Provincia de Río Negro,Argentina,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Provincia de San Luis,Argentina,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Provincia de Santa Fe,Argentina,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Provincia de Salta,Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Provincia de Entre Rios,Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Provincia de Santa Cruz,Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Provincia de Jujuy,Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
All,Argentina,1,0,1,6,1,3,5,2,2,10,3,11,11,9,13,19
